message_length,word_count,num_digits,num_uppercase,has_free,has_call,has_win,has_prize,has_txt,has_urgent,has_url,has_phone,exclamation_count,question_count,label
111,20,0,3,0,0,0,0,0,0,0,0,0,0,0
29,6,0,2,0,0,0,0,0,0,0,0,0,0,0
155,28,25,10,1,0,1,0,1,0,0,1,0,0,1
49,11,0,2,0,0,0,0,0,0,0,0,0,0,0
61,13,0,2,0,0,0,0,0,0,0,0,0,0,0
148,32,4,7,1,0,0,0,0,0,0,0,2,1,1
77,16,0,2,0,0,0,0,0,0,0,0,0,0,0
160,26,1,10,0,1,0,0,0,0,0,0,0,0,0
158,26,19,12,0,1,1,1,0,0,0,1,3,0,1
154,29,13,14,1,1,0,0,0,0,0,1,1,1,1
109,21,0,2,0,0,0,0,0,0,0,0,0,1,0
136,26,22,17,0,0,1,1,1,0,0,1,1,0,1
156,26,20,40,1,0,1,1,1,1,1,1,2,0,1
196,37,0,3,0,0,1,0,0,0,0,0,0,0,0
35,8,0,26,0,0,0,0,0,0,0,0,2,0,0
149,19,0,23,0,0,0,0,1,0,1,0,0,1,1
26,4,0,1,0,0,0,0,0,0,0,0,0,0,0
81,19,1,3,0,0,0,0,0,0,0,0,0,0,0
58,13,0,4,0,0,0,0,0,0,0,0,0,0,0
156,24,23,33,0,0,0,0,1,0,0,1,0,0,1
41,8,0,1,0,0,0,0,0,0,0,0,0,1,0
49,11,1,2,0,0,0,0,0,0,0,0,0,0,0
53,11,0,3,0,0,0,0,0,0,0,0,0,0,0
88,20,1,3,0,0,0,0,0,0,0,0,0,1,0
57,11,0,3,0,0,0,0,0,0,0,0,0,1,0
144,28,0,8,0,0,0,0,0,0,0,0,0,0,0
30,5,0,1,0,0,0,0,0,0,0,0,0,0,0
134,32,0,6,0,0,0,0,0,0,0,0,0,5,0
75,15,0,2,0,0,0,0,0,0,0,0,0,0,0
64,12,0,5,0,0,0,0,0,0,0,0,1,1,0
130,26,0,1,0,0,0,0,0,0,0,0,0,0,0
189,41,2,5,0,0,1,0,0,0,0,0,2,1,0
29,6,0,1,0,0,0,0,0,0,0,0,0,0,0
84,17,0,2,0,0,0,0,0,0,0,0,0,1,0
159,29,1,13,0,0,0,0,0,0,0,0,0,0,1
123,28,2,4,0,0,0,0,0,0,0,0,0,0,0
47,9,0,2,0,0,0,0,0,0,0,0,0,0,0
28,8,0,2,0,0,0,0,0,0,0,0,0,0,0
27,4,0,2,0,0,0,0,0,0,0,0,0,0,0
155,30,0,4,0,0,0,0,1,0,0,0,2,1,0
82,17,0,4,0,0,0,0,0,0,0,0,0,0,0
142,34,0,10,0,0,0,0,0,0,0,0,0,1,0
172,33,22,7,1,1,0,0,0,0,0,1,0,0,1
19,4,0,15,0,0,0,0,0,0,0,0,0,1,0
72,13,0,3,0,0,0,0,0,0,0,0,1,0,0
32,3,0,1,0,1,0,0,0,0,0,0,0,0,0
45,8,0,1,0,0,0,0,0,0,0,0,0,0,0
31,5,0,1,0,0,0,0,0,0,0,0,0,1,0
67,14,0,2,0,0,0,0,0,0,0,0,0,0,0
148,30,0,7,0,0,0,0,0,0,0,0,0,0,0
58,12,0,2,0,0,0,0,0,0,0,0,0,0,0
124,23,0,1,0,0,0,0,0,0,0,0,0,0,0
80,16,0,1,0,0,0,0,0,0,0,0,0,0,0
291,55,0,7,0,0,0,0,0,0,0,0,0,0,0
120,22,0,24,0,0,1,0,0,0,0,0,0,2,1
76,13,0,7,0,0,0,0,0,0,0,0,0,1,0
161,27,24,12,1,1,0,0,0,0,0,1,4,0,1
34,6,0,2,0,1,0,0,0,0,0,0,0,0,0
22,4,0,1,0,0,0,0,0,0,0,0,0,0,0
40,7,0,1,0,0,0,0,0,0,0,0,0,0,0
108,23,1,3,0,0,0,0,0,0,0,0,0,0,0
48,9,0,2,0,0,0,0,0,0,0,0,0,0,0
25,6,0,3,0,0,0,0,0,0,0,0,0,0,0
56,12,0,2,0,0,0,0,0,0,0,0,0,1,0
110,24,0,2,0,0,0,0,0,0,0,0,0,0,0
153,28,15,6,0,1,1,1,0,0,0,1,0,0,1
124,23,0,3,0,0,0,0,0,0,0,0,0,1,0
161,22,21,24,0,0,0,1,1,1,0,1,0,0,1
80,15,0,5,0,0,0,0,0,0,0,0,1,1,1
34,8,0,1,0,0,0,0,0,0,0,0,0,0,0
46,8,0,3,0,0,0,0,0,0,0,0,0,0,0
29,5,0,1,0,0,0,0,0,0,0,0,0,0,0
45,10,0,35,0,0,0,0,0,0,0,0,0,1,0
42,6,0,1,0,0,0,0,0,0,0,0,0,2,0
20,5,0,1,0,1,0,0,0,0,0,0,0,0,0
43,9,0,2,1,1,0,0,0,0,0,0,0,0,0
73,14,0,1,0,0,0,0,0,0,0,0,0,0,0
50,11,0,1,0,0,0,0,0,0,0,0,0,0,0
42,7,0,1,0,0,0,0,0,0,0,0,0,0,0
76,16,0,4,0,0,0,0,0,0,0,0,0,0,0
22,4,0,2,0,1,0,0,0,0,0,0,0,0,0
32,8,0,2,0,1,0,0,0,0,0,0,0,1,0
32,10,0,1,0,0,0,0,0,0,0,0,0,0,0
36,9,0,1,0,0,0,0,0,0,0,0,0,0,0
14,3,0,1,0,0,0,0,0,0,0,0,0,0,0
55,11,0,2,0,1,0,0,0,0,0,0,0,0,0
121,26,1,4,0,0,0,0,0,0,0,0,0,1,0
144,31,0,5,0,0,0,1,0,0,0,0,0,0,0
42,9,0,1,0,0,0,0,0,0,0,0,0,0,0
41,7,0,1,1,0,0,0,0,0,0,0,0,0,0
62,10,0,4,0,0,0,0,0,0,0,0,2,0,0
195,39,2,4,0,0,0,0,0,0,0,0,0,1,0
141,26,1,19,0,0,0,0,0,0,0,0,2,0,0
139,23,22,4,0,1,1,1,0,0,0,0,1,0,1
107,20,3,3,0,0,0,0,0,0,0,0,0,1,0
125,22,5,11,1,0,0,0,1,0,0,1,0,0,1
33,5,0,1,0,0,0,0,0,0,0,0,0,1,0
51,12,0,1,0,0,0,0,0,0,0,0,0,0,0
184,39,0,5,0,0,0,0,0,0,0,0,1,1,0
